,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Happier Than Ever,Billie Eilish,0.332,0.225,0,-8.697,1,0.034800000000000005,0.767,0.297,81.055,298899,3
1,Sanctuary,Joji,0.552,0.638,1,-7.474,1,0.11,0.387,0.332,167.834,180019,4
2,Pasalubong - feat. Moira Dela Torre,"Ben&Ben, Moira Dela Torre",0.355,0.399,7,-8.091,1,0.026600000000000002,0.30000000000000004,0.2,69.448,243612,4
3,Watermelon Sugar,Harry Styles,0.548,0.8160000000000001,0,-4.209,1,0.0465,0.122,0.557,95.39,174000,4
4,13,LANY,0.784,0.539,8,-8.148,0,0.06280000000000001,0.6900000000000001,0.6970000000000001,133.963,234818,4
5,Save Your Tears,The Weeknd,0.68,0.8260000000000001,0,-5.487,1,0.0309,0.0212,0.644,118.051,215627,4
6,'bout you,SEVENTEEN,0.71,0.888,1,-3.09,1,0.105,0.0873,0.9430000000000001,145.074,162427,4
7,When I Met You,APO Hiking Society,0.547,0.431,10,-9.315,1,0.0507,0.835,0.379,71.911,259413,4
8,Good Boy Gone Bad,TOMORROW X TOGETHER,0.47500000000000003,0.6950000000000001,1,-5.9190000000000005,1,0.10200000000000001,0.0159,0.552,100.009,191038,4
9,Lagi,Skusta Clee,0.595,0.34,5,-7.713,1,0.0279,0.895,0.448,94.989,214500,4
10,Make It With You,Ben&Ben,0.558,0.458,4,-10.711,1,0.0485,0.7000000000000001,0.342,86.877,209783,4
11,TAKE ALL THE LOVE,Arthur Nery,0.491,0.486,5,-6.588,1,0.0347,0.28500000000000003,0.262,82.411,206182,3
12,Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",0.721,0.738,7,-4.77,1,0.0403,0.0022600000000000003,0.637,119.976,154983,4
13,Just the Way You Are,Bruno Mars,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.424,109.021,220734,4
14,Payphone,"Maroon 5, Wiz Khalifa",0.743,0.752,4,-4.813,1,0.0414,0.0188,0.545,110.015,231173,4
15,ELEVEN,IVE,0.8280000000000001,0.731,9,-3.033,1,0.111,0.061700000000000005,0.587,119.978,178453,4
16,Domino,SEVENTEEN,0.767,0.687,10,-5.916,1,0.156,0.023100000000000002,0.838,110.019,214893,4
17,Daylight,Harry Styles,0.686,0.445,0,-7.189,1,0.0398,0.484,0.626,145.5,164533,3
18,Iba (ft. Moira Dela Torre),"Zack Tabudlo, Moira Dela Torre",0.5630000000000001,0.799,2,-4.599,1,0.0358,0.529,0.46900000000000003,140.045,255857,4
19,Tagpuan,Moira Dela Torre,0.5660000000000001,0.121,8,-8.206,1,0.0345,0.862,0.293,135.268,260240,4
20,Die For You,The Weeknd,0.582,0.525,1,-7.163,0,0.0627,0.111,0.51,133.249,260253,4
21,comethru,Jeremy Zucker,0.795,0.178,0,-11.991,1,0.0574,0.607,0.608,93.982,181613,4
22,MIDDLE OF THE NIGHT,Elley Duhé,0.41000000000000003,0.611,4,-8.271,0,0.046700000000000005,0.0228,0.08990000000000001,185.727,184448,3
23,Teenage Mona Lisa,Alfie Castley,0.547,0.496,9,-7.6,1,0.0511,0.192,0.357,78.957,198608,4
24,The Man,Taylor Swift,0.777,0.658,0,-5.191,1,0.054,0.0767,0.633,110.048,190360,4
25,Nothing,Bruno Major,0.555,0.27,2,-15.892,1,0.0884,0.931,0.274,139.691,162797,3
26,Halik,Kamikazee,0.525,0.908,11,-3.33,1,0.0413,0.013900000000000001,0.628,126.041,222680,4
27,Before It Sinks In,Moira Dela Torre,0.542,0.392,1,-8.135,1,0.035500000000000004,0.605,0.185,140.006,263720,4
28,Cruel Summer,Taylor Swift,0.552,0.7020000000000001,9,-5.707,1,0.157,0.117,0.5640000000000001,169.994,178427,4
29,Crazier,Arthur Miguel,0.603,0.152,7,-15.808,1,0.031400000000000004,0.852,0.314,83.239,233340,4
30,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",0.7020000000000001,0.8250000000000001,6,-3.787,0,0.0601,0.008830000000000001,0.915,102.977,203064,4
31,Blank Space,Taylor Swift,0.76,0.7030000000000001,5,-5.412,1,0.054,0.10300000000000001,0.5700000000000001,95.997,231827,4
32,Urong Sulong,"Alisson Shore, Kiyo",0.746,0.35000000000000003,2,-8.649000000000001,1,0.074,0.5720000000000001,0.612,80.026,267000,4
33,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",0.8140000000000001,0.628,7,-7.178,1,0.221,0.167,0.677,123.977,201334,4
34,Wait a Minute!,WILLOW,0.764,0.705,3,-5.279,0,0.027800000000000002,0.0371,0.672,101.003,196520,4
35,rainbow,Gatton,0.704,0.146,3,-13.399000000000001,1,0.043300000000000005,0.898,0.521,133.975,202836,4
36,Yellow,Coldplay,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.28500000000000003,173.372,266773,4
37,Shadow,SEVENTEEN,0.686,0.84,10,-5.221,1,0.0694,0.11900000000000001,0.704,152.122,212653,4
38,Bulong,December Avenue,0.5,0.728,9,-5.472,0,0.0313,0.031900000000000005,0.35100000000000003,134.877,270233,4
39,Pagtingin,Ben&Ben,0.669,0.42,2,-8.464,1,0.0253,0.506,0.523,95.049,227370,4
40,One Right Now (with The Weeknd),"Post Malone, The Weeknd",0.687,0.781,1,-4.806,1,0.053,0.0361,0.6880000000000001,97.014,193507,4
41,Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",0.669,0.773,0,-5.619,1,0.153,0.038,0.377,93.923,185857,4
42,Don't Blame Me,Taylor Swift,0.615,0.534,9,-6.719,0,0.0386,0.106,0.193,135.917,236413,4
43,Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",0.8240000000000001,0.6970000000000001,11,-4.869,0,0.0473,0.158,0.757,99.988,214460,4
44,Sana - Single Version,I Belong to the Zoo,0.66,0.373,7,-7.874,1,0.029,0.7010000000000001,0.34800000000000003,126.887,277099,4
45,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",0.795,0.8,1,-6.32,1,0.0309,0.0354,0.934,116.032,202735,4
46,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",0.65,0.8250000000000001,0,-4.645,1,0.0325,0.021500000000000002,0.593,118.091,191014,4
47,Kung Wala Ka,Hale,0.5,0.339,7,-7.301,1,0.0263,0.71,0.152,136.427,242800,4
48,Here's Your Perfect,Jamie Miller,0.558,0.454,6,-5.335,1,0.0551,0.499,0.424,113.12,158594,4
49,I GUESS I'M IN LOVE,Clinton Kane,0.422,0.34,0,-6.577,1,0.0351,0.877,0.223,77.213,204094,4
50,Mundo,IV Of Spades,0.705,0.401,6,-8.9,1,0.0376,0.176,0.481,140.031,349713,4
51,Maybe The Night,Ben&Ben,0.5720000000000001,0.522,2,-9.095,1,0.0367,0.113,0.498,74.05,217197,4
52,Wish You Were Sober,Conan Gray,0.7010000000000001,0.728,2,-5.226,1,0.0468,0.0178,0.6960000000000001,91.071,168880,4
53,"Dito, Sa Ilalim Ng Buwan",Arthur Miguel,0.5640000000000001,0.364,4,-11.39,1,0.0246,0.8200000000000001,0.07390000000000001,80.038,245225,4
54,Come Inside Of My Heart,IV Of Spades,0.676,0.5650000000000001,10,-9.411,1,0.03,0.00321,0.6890000000000001,113.007,246396,4
55,Heather,Conan Gray,0.357,0.425,5,-7.301,1,0.0333,0.584,0.27,102.078,198040,3
56,With you,"Jimin, HA SUNG WOON",0.532,0.426,3,-6.117,1,0.028800000000000003,0.639,0.137,149.898,201905,3
57,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber",0.654,0.63,10,-4.644,1,0.025900000000000003,0.149,0.43,89.991,167693,4
58,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",0.597,0.45,8,-6.658,1,0.041800000000000004,0.223,0.537,178.765,228482,3
59,Paper Rings,Taylor Swift,0.811,0.719,9,-6.553,1,0.0497,0.0129,0.865,103.979,222400,4
60,I Like Me Better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,0.419,91.97,197437,4
61,Favorite Girl,Justin Bieber,0.581,0.681,7,-4.469,1,0.043500000000000004,0.0472,0.634,176.034,256800,4
62,Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",0.81,0.655,8,-6.779,0,0.0698,0.127,0.809,150.002,193322,4
63,Cheating on You,Charlie Puth,0.749,0.535,4,-6.785,1,0.033600000000000005,0.0131,0.601,123.042,196607,4
64,Shivers,Ed Sheeran,0.788,0.859,2,-2.724,1,0.08560000000000001,0.281,0.8220000000000001,141.02,207853,4
65,2002,Anne-Marie,0.6970000000000001,0.683,1,-2.8810000000000002,0,0.117,0.037200000000000004,0.603,96.133,186987,4
66,Kundiman,Silent Sanctuary,0.335,0.5710000000000001,11,-4.711,1,0.024300000000000002,0.5640000000000001,0.454,93.572,339053,4
67,Ikaw At Ako,"Moira Dela Torre, Jason Marvin",0.445,0.355,4,-7.351,1,0.028900000000000002,0.887,0.366,135.525,269877,4
68,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",0.677,0.6960000000000001,0,-6.181,1,0.11900000000000001,0.321,0.464,90.03,198082,4
69,Imahe,Magnus Haven,0.604,0.446,9,-8.01,1,0.0341,0.63,0.199,143.946,321817,4
70,Wildest Dreams (Taylor's Version),Taylor Swift,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.498,140.061,220433,4
71,happier,Olivia Rodrigo,0.395,0.443,6,-9.72,1,0.133,0.765,0.338,168.924,175933,3
72,KLWKN,Music Hero,0.493,0.394,2,-6.997,1,0.0366,0.5750000000000001,0.375,152.03,256573,4
73,abcdefu,GAYLE,0.6950000000000001,0.54,4,-5.692,1,0.049300000000000004,0.299,0.41500000000000004,121.932,168602,4
74,An Art Gallery Could Never Be As Unique As You,mrld,0.48,0.299,7,-12.077,1,0.052500000000000005,0.838,0.196,121.75,158677,4
75,Pa-umaga,Al James,0.911,0.299,0,-17.179,1,0.0752,0.17,0.5650000000000001,130.038,189019,4
76,Say You Won't Let Go,James Arthur,0.358,0.557,10,-7.398,1,0.059000000000000004,0.6950000000000001,0.494,85.043,211467,4
77,Eroplanong Papel,December Avenue,0.47100000000000003,0.647,0,-3.549,1,0.0347,0.00753,0.15,138.998,303880,4
78,Kiss It Better,Rihanna,0.619,0.806,3,-4.8,0,0.0483,0.272,0.877,95.0,253080,4
79,That That (prod. & feat. SUGA of BTS),"PSY, SUGA",0.905,0.962,4,-3.197,1,0.08560000000000001,0.029900000000000003,0.906,129.969,174647,4
80,March,SEVENTEEN,0.662,0.933,11,-3.099,0,0.0614,0.012,0.622,119.985,196187,4
81,Kung 'Di Rin Lang Ikaw,"December Avenue, Moira Dela Torre",0.502,0.482,4,-4.736,1,0.028800000000000003,0.161,0.132,133.894,267759,4
82,Akin Ka Na Lang,The Itchyworms,0.6990000000000001,0.655,7,-5.179,1,0.0412,0.419,0.919,128.644,183760,4
83,Sa Ngalan Ng Pag-Ibig,December Avenue,0.518,0.762,7,-3.907,1,0.030500000000000003,0.08510000000000001,0.271,155.985,285138,4
84,Falling,Harry Styles,0.5670000000000001,0.267,4,-6.502,1,0.029900000000000003,0.839,0.0592,110.011,240133,4
85,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",0.524,0.364,7,-10.209,1,0.0367,0.808,0.436,75.24,209831,4
86,Out of My League,Stephen Speaks,0.538,0.315,0,-10.057,1,0.0291,0.96,0.4,91.921,218800,3
87,Butter,BTS,0.759,0.459,8,-5.187,1,0.09480000000000001,0.0032300000000000002,0.6950000000000001,109.997,164442,4
88,I Quit Drinking,"Kelsea Ballerini, LANY",0.607,0.418,1,-6.997,1,0.0363,0.394,0.386,95.002,171200,4
89,Matilda,Harry Styles,0.507,0.294,2,-10.0,1,0.04,0.896,0.386,114.199,245964,4
90,Night Changes,One Direction,0.672,0.52,8,-7.747,1,0.035300000000000005,0.859,0.37,120.001,226600,4
91,Is There Someone Else?,The Weeknd,0.7020000000000001,0.586,9,-7.83,0,0.0313,0.0388,0.608,134.951,199111,4
92,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID",0.728,0.783,11,-4.424,0,0.266,0.23700000000000002,0.555,77.011,173381,4
93,THATS WHAT I WANT,Lil Nas X,0.737,0.846,1,-4.51,0,0.22,0.0061400000000000005,0.546,87.981,143901,4
94,Polaroid Love,ENHYPEN,0.738,0.67,7,-3.766,0,0.0439,0.458,0.651,138.055,184602,4
95,As You Are,Zack Tabudlo,0.715,0.438,10,-6.147,0,0.0373,0.353,0.447,81.07,183969,4
96,Kiss Me More (feat. SZA),"Doja Cat, SZA",0.764,0.705,8,-3.463,1,0.0284,0.259,0.781,110.97,208667,4
97,I Need You More Today,Caleb Santos,0.461,0.522,11,-7.513,1,0.043000000000000003,0.36,0.446,157.768,233728,4
98,Style,Taylor Swift,0.588,0.791,7,-5.595,1,0.0402,0.0024500000000000004,0.487,94.933,231000,4
99,All I Want - From High School Musical: The Musical: The Series,Olivia Rodrigo,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.129,77.599,177323,3
