rank,uri,artist_names,title,source,peak_rank,previous_rank,weeks_on_chart,streams,stream_category
1,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,1,1,2,2933407,10
2,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,88rising Music/Warner Records,1,2,4,2354387,10
3,spotify:track:47sq83n5WN22ZzYnGn8aTy,"Adie, Janine Berdin",Mahika,O/C Records,3,3,5,2260533,10
4,spotify:track:1oYQtNQUxSODedcc5hPmp9,Ace Banzuelo,Muli,Sony Music Entertainment,2,5,8,2173017,10
5,spotify:track:2m6Ko3CY1qXNNja8AlugNc,Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd,1,4,43,2031487,10
6,spotify:track:0HAG6nIiEKd75yGpovuSJQ,Arthur Nery,Isa lang,Viva Records,2,6,29,1812192,10
7,spotify:track:2BDrpeAnTxCurLt38yDSrE,Lo ki,Kagome,DRP Records,6,9,17,1551260,10
8,spotify:track:0WZqHCoOBXqgCCIsUZLC2a,Arthur Nery,Pagsamo,Viva Records,1,7,40,1480290,9
9,spotify:track:2jbf9EytR7fzpSrPWAYCf9,Adie,Paraluman,O/C Records,3,8,61,1469122,9
10,spotify:track:5rJ7bdPmr8nfmm2JQ8xHOz,NAYEON,POP!,Republic Records – NAYEON (TWICE),10,13,2,1462922,9
11,spotify:track:0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,Republic Records,7,11,9,1458966,9
12,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Parlophone UK,12,29,6,1457506,9
13,spotify:track:16iRlyUMJVPqz62DlomMre,NOBITA,Ikaw Lang,IndieTV,2,10,58,1454198,9
14,spotify:track:769Ld8demNhMgVLAQcjTDn,anees,sun and moon,Anees LLC,1,12,13,1347797,9
15,spotify:track:4tyEfRWLgYkWQaowoHXoba,Moira Dela Torre,Kumpas - Theme of “2 Good 2 Be True”,Star Music,15,17,5,1342476,9
16,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,4,14,14,1337737,9
17,spotify:track:7ArVzlFsFsQXNseVXmdOyk,Denise Julia,NVMD,Denise Julia,16,18,11,1332762,9
18,spotify:track:08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Universal Music Philippines Inc.,1,15,30,1244958,9
19,spotify:track:5CUQnKjA6nlteCnxMKsjIu,Adie,Tahanan,O/C Records,6,16,31,1227434,9
20,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,6,22,42,1127301,9
21,spotify:track:63bmIgH9sS6sX5Sc7MetGq,Zack Tabudlo,Habang Buhay,Universal Music Philippines Inc.,2,19,41,1074728,9
22,spotify:track:5MYPzdIWgx3pMLRGlq2fVq,Zack Tabudlo,Asan Ka Na Ba,Universal Music Philippines Inc.,6,20,15,1063254,9
23,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life/Atlantic,18,27,9,1005415,9
24,spotify:track:5NvOZCjZaGGGL597exlQWv,Ricky Montgomery,Line Without a Hook,Warner Records,10,23,44,968015,9
25,spotify:track:4iRRAvxPPWXQp3mV1rAbPF,NOBITA,Unang Sayaw,Sony Music Entertainment,12,25,38,947651,8
26,spotify:track:68HocO7fx9z0MgDU0ZPHro,NIKI,Every Summertime,"MARVEL/Hollywood Records, Inc./Interscope Records",2,24,29,940245,8
27,spotify:track:5d9Rka4T0szdC1MobhtXrV,Ben&Ben,Paninindigan Kita,Sony Music Entertainment,25,28,10,932027,8
28,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,BIGHIT MUSIC,3,21,4,930722,8
29,spotify:track:55RMhrPQYA6vLu5YMgXxFD,Zack Tabudlo,Binibini,Universal Music Philippines Inc.,1,26,66,909424,8
30,spotify:track:1Fid2jjqsHViMX6xNH70hE,Seafret,Atlantis,Sweet Jane Recordings,30,58,2,873720,8
31,spotify:track:4IeuTj1pEHuL9vJSiEqEfR,mrld,Ligaya,O/C Records,18,31,31,848242,7
32,spotify:track:7gfrASeOt73YWvpIv1fU8E,Arthur Nery,Higa,O/C Records,10,30,109,841000,7
33,spotify:track:7C9Knp9FzLY6RwgktmW9Ge,"Because, Leslie",BMW,Viva Records,4,32,42,838880,7
34,spotify:track:5yu0lVVW68f5VIzdjIJVQ6,"Arthur Miguel, Trisha Macapagal",Ang Wakas (feat. Trisha Macapagal),Warner Music Philippines,22,37,14,805470,7
35,spotify:track:0QzuaeCEEOV40Pn7IvKEny,dhruv,double take,Little Worry/RCA Records,1,33,54,794159,7
36,spotify:track:3PgjBOoA5OytNGkglObpOd,Ben&Ben,Sa Susunod na Habang Buhay,Sony Music Entertainment,2,35,123,790830,7
37,spotify:track:1dcNEEtODRVZEevQ20Cgmy,Zack Tabudlo,Nangangamba,Universal Music Philippines Inc.,4,34,66,784935,7
38,spotify:track:0EA8jl8Wje9ALRKC8Qlzyt,"Arthur Nery, Jason Dhakal",Happy w u,Viva Records,21,36,51,768719,7
39,spotify:track:3afkJSKX0EAMsJXTZnDXXJ,Troye Sivan,Strawberries & Cigarettes,EMI Recorded Music Australia Pty Ltd,22,39,133,761288,7
40,spotify:track:4IaxDf2FixiQXq0mW7key9,Jessi,ZOOM,P NATION,8,38,12,745989,6
41,spotify:track:3pCt2wRdBDa2kCisIdHWgF,Pamungkas,To the Bone,Mas Pam Records,5,41,57,720810,6
42,spotify:track:152sJgmftB46Q6IsDTUDLN,Sam Concepcion,Diwata (Miss Universe Philippines 2021),Old School Records,7,42,20,715803,6
43,spotify:track:3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,Atlantic Records,20,44,24,710522,6
44,spotify:track:0HZ3OUVrGHxttD2EuHqRm3,Hale,The Day You Said Goodnight,PolyEast Records,43,46,200,703466,6
45,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,20,49,54,682370,6
46,spotify:track:5F1ZmucV0uJY14y2dYKePa,Joji,Sanctuary,88rising Music/Warner Records,17,43,119,682273,6
47,spotify:track:4XKXphKH76W4zNpkgFS5o2,j-hope,MORE,BIGHIT MUSIC,47,-1,1,676726,6
48,spotify:track:0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,48,60,5,666000,6
49,spotify:track:5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,51,34,664150,6
50,spotify:track:0xaKCWpX4CBSqwh7CQa4EG,Al James,PSG,Al James,9,40,25,639678,5
51,spotify:track:4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,51,59,12,586528,5
52,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,52,62,45,586022,5
53,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,29,52,13,579388,5
54,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,29,53,7,578092,5
55,spotify:track:3WUEs51GpcvlgU7lehLgLh,Ben&Ben,Kathang Isip,Warner Music Philippines,2,55,238,574371,5
56,spotify:track:2oupN96VwNrbONyMtTWGjH,"Nik Makino, Flow G",MOON,Kino Sound,56,73,5,573955,5
57,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",57,79,7,569047,5
58,spotify:track:4rG3h1QwgjSSWz8EIjCFrm,Ben&Ben,Araw-Araw,Sony Music Entertainment,23,54,147,562698,5
59,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,4,63,59,559751,5
60,spotify:track:6wdCelHrPh7UfliNjwRTUv,Ben&Ben,Leaves,Warner Music Philippines,40,57,232,556853,5
61,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,45,52,552668,5
62,spotify:track:0mL82sxCRjrs3br407IdJh,The Weeknd,Is There Someone Else?,XO / Republic Records,52,56,10,549472,4
63,spotify:track:5TTXEcfsYLh6fTarLaevTi,NIKI,lowkey,88rising Music,26,61,129,539425,4
64,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,9,68,34,511066,4
65,spotify:track:4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Give Me Your Forever,Universal Music Philippines Inc.,21,48,36,505570,4
66,spotify:track:663vZfMh88Uo2bfTx6wiE4,"Janine Teñoso, Arthur Nery",Pelikula,Viva Records,32,69,51,500867,4
67,spotify:track:092cPwFlwBXdB3QF3X469W,Arthur Nery,Binhi,O/C Records,13,67,68,499359,4
68,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,80,66,496119,4
69,spotify:track:2q3LzfknBzye3xXjgiJBjS,"Gatton, Brooke Young",When Scars Become Art,Gatton,19,64,23,492963,4
70,spotify:track:3ueq4reab02CypseErxvwS,South Border,Rainbow,PolyEast Records,53,72,289,484518,4
71,spotify:track:267RumTt5KeLBGl2KWxBL0,TJ Monterde,Dating Tayo,PolyEast Records,28,66,96,478102,4
72,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,"Big Machine Records, LLC",12,74,35,475310,4
73,spotify:track:1gH1h30wkQdd9zhY3j7a8T,Rex Orange County,THE SHADE,Rex Orange County,73,-1,1,470727,4
74,spotify:track:0dcnrLo8s1rhjm8euGjI4n,TREASURE,DARARI,YG Entertainment,8,75,20,464746,4
75,spotify:track:24ngpWhBOxKJtIPnzSNX8c,December Avenue,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),Tower of Doom Music,12,71,143,461987,4
76,spotify:track:2VeGifKR8RbINCfWcRb5qH,"Cliff, Yden",Sunsets With You,Warner Music Philippines,60,88,11,457181,4
77,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,2,50,38,456188,4
78,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,1,81,90,454318,4
79,spotify:track:2v5VIWMjZxeiG52KckiXxS,Silent Sanctuary,Ikaw Lamang,Universal Records,48,82,133,453368,4
80,spotify:track:3OpGUlDmRUXh0NkIYWoIlD,Parokya Ni Edgar,Your Song,Universal Records,34,78,252,449569,3
81,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,10,77,40,446999,3
82,spotify:track:4qu63nuBpdn0qHUHuObEj1,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),Republic Records,37,86,30,443834,3
83,spotify:track:2xCkiGqGMkAIg6fQTag51C,Unique Salonga,Sino,O/C Records,72,76,47,442735,3
84,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,91,78,440740,3
85,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,IVE,LOVE DIVE,STARSHIP Entertainment,16,83,14,440134,3
86,spotify:track:69xohKu8C1fsflYAiSNbwM,BTS,Run BTS,BIGHIT MUSIC,12,65,4,431197,3
87,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,23,90,51,424241,3
88,spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ,Beyoncé,BREAK MY SOUL,Parkwood Entertainment/Columbia,85,85,2,424154,3
89,spotify:track:0UHB9METy4VCXNgkcGqHqS,Rihanna,Kiss It Better,Roc Nation / Rihanna,74,87,10,411730,3
90,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",85,96,95,410764,3
91,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,15,89,49,407394,3
92,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,92,95,55,405230,3
93,spotify:track:1t7AA4xxqEseapeIJCiQ5l,APO Hiking Society,When I Met You,Universal Records,49,92,68,392814,3
94,spotify:track:2MJz8BxxMsERULatmBikDH,Pink Sweat$,At My Worst,Atlantic Records,1,93,96,392146,3
95,spotify:track:1XGmzt0PVuFgQYYnV2It7A,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,9,110,35,384508,3
96,spotify:track:3Eb5sztvEMa0Mqnb8DUAlU,IV Of Spades,Come Inside Of My Heart,Warner Music Philippines,83,103,67,382563,3
97,spotify:track:5l9g7py8RCblcvbZgGQgSd,Ben&Ben,Pagtingin,Sony Music Entertainment,2,99,166,381988,3
98,spotify:track:6PRy17C5LiiN7VCLS6IA98,ENHYPEN,Future Perfect (Pass the MIC),BELIFT LAB,98,-1,1,379235,3
99,spotify:track:4u8RkgV6P4TLi89SmlUtv8,IV Of Spades,Mundo,Warner Music Philippines,1,101,230,378332,3
100,spotify:track:46HNZY1i7O6jwTA7Slo2PI,"Coldplay, BTS",My Universe,Parlophone UK,1,94,41,374187,3
101,spotify:track:5SCueETKJMI9LrMjrvlbjf,"NAYEON, Wonstein",LOVE COUNTDOWN (Feat. Wonstein),Republic Records – NAYEON (TWICE),47,47,2,372490,3
102,spotify:track:4JSDhJVmo2UqdF7nxbyenn,Hale,Kung Wala Ka,Polyeast,47,102,274,367014,3
103,spotify:track:22bPsP2jCgbLUvh82U0Z3M,Taylor Swift,The Way I Loved You (Taylor’s Version),Taylor Swift,17,100,6,365257,3
104,spotify:track:04qDUASuSfVp6fktfsxVej,"Caleb Santos, Viva Music Publishing Inc.",I Need You More Today,Viva Records Corporation,89,107,120,363911,3
105,spotify:track:7mFj0LlWtEJaEigguaWqYh,"Megan Thee Stallion, Dua Lipa",Sweetest Pie,300 Entertainment,83,105,14,363793,3
106,spotify:track:1yDiru08Q6omDOGkZMPnei,Ben&Ben,Maybe The Night,Warner Music Philippines,1,108,232,360741,3
107,spotify:track:6I2tqFhk8tq69iursYxuxd,SEVENTEEN,HOT,PLEDIS Entertainment,41,106,6,360211,3
108,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,31,125,49,357320,3
109,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,13,115,102,355022,3
110,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,LANY,Malibu Nights,Polydor Records,2,97,196,354938,3
111,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,Olivia Rodrigo PS,5,130,59,352077,3
112,spotify:track:2IAR0DziHCjSu16gR4ihvy,Bruno Major,Nothing,Bruno Major,20,98,36,352059,3
113,spotify:track:0dJPIIlTmVM0lambbFgAYq,December Avenue,Eroplanong Papel,Tower of Doom Music,89,104,47,351159,3
114,spotify:track:1oFAF1hdPOickyHgbuRjyX,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,XO / Republic Records,11,109,63,350574,3
115,spotify:track:4JzCFEc3O2UEdjKzevvFH5,BTS,For Youth,BIGHIT MUSIC,21,84,4,350159,3
116,spotify:track:4HBZA5flZLE435QTztThqH,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),"Ariana Grande & Justin Bieber ""Stuck With U""- Charity",1,113,113,349768,2
117,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,3,112,267,345742,2
118,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,24,118,42,343251,2
119,spotify:track:0WOvSEVpUGkNufX0w0M06F,LANY,13,Polydor Records,15,116,178,343023,2
120,spotify:track:2aTKrdenCq5qBOoJPFdn4P,Jamie Miller,Here's Your Perfect,Atlantic Records,2,111,56,341553,2
121,spotify:track:5Z2DNRAhs6r4VdINVkRhYY,ENHYPEN,SHOUT OUT,BELIFT LAB,121,-1,1,340778,2
122,spotify:track:0087fDVeNhuyMtST91RMjv,Silent Sanctuary,Kundiman,Universal Records,80,124,67,340546,2
123,spotify:track:3FuZUeJbuejOfpbvuqp8QL,Arthur Miguel,"Dito, Sa Ilalim Ng Buwan",Warner Music Philippines,58,117,25,340451,2
124,spotify:track:4CnA1w7WulFrRPehCWDULz,Alfie Castley,Teenage Mona Lisa,Alfie Castley,30,114,24,333926,2
125,spotify:track:3bI34Ts8OMPfIpoPqzyZgM,ENHYPEN,TFW (That Feeling When),BELIFT LAB,125,-1,1,333898,2
126,spotify:track:1X4l4i472kW5ofFP8Xo0x0,I Belong to the Zoo,Sana - Single Version,I Belong to the Zoo,1,129,207,330830,2
127,spotify:track:4VoJCUgNmnqG2qF0peDBkw,Stephen Speaks,Out of My League,Rippley Records,72,137,197,330522,2
128,spotify:track:00mBzIWv5gHOYxwuEJXjOG,December Avenue,Sa Ngalan Ng Pag-Ibig,Tower of Doom Music,2,127,228,329092,2
129,spotify:track:5elW2CKSoqjYoJ32AGDxf1,ENHYPEN,Polaroid Love,BELIFT LAB,15,182,26,328041,2
130,spotify:track:296nXCOv97WJNRWzIBQnoj,LE SSERAFIM,FEARLESS,SOURCE MUSIC,48,126,10,327999,2
131,spotify:track:2BgD4nRyx9EZ5o8YEnjRSV,"December Avenue, Moira Dela Torre",Kung 'Di Rin Lang Ikaw,Tower of Doom Music,1,131,207,326250,2
132,spotify:track:4Yxc55NX3tAXC2mHRAhtcW,"Olivia Rodrigo, Disney","All I Want - From ""High School Musical: The Musical: The Series""",Walt Disney Records,124,153,22,325631,2
133,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,"Big Machine Records, LLC",94,119,38,324957,2
134,spotify:track:20JlaQj9irFjFb8X0SKKS7,Moira Dela Torre,Before It Sinks In,Star Music,80,123,38,324298,2
135,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,2,128,60,318432,2
136,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,1,133,289,317988,2
137,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,BTS,Dynamite,BIGHIT MUSIC,1,135,98,316992,2
138,spotify:track:2DB4DdfCFMw1iaR6JaR03a,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,38,140,18,315570,2
139,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,13,139,41,314658,2
140,spotify:track:0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,Cheating on You,Artist Partner,13,122,61,314092,2
141,spotify:track:3U8MbjNAP56IrzpbEFn1qN,Al James,Pa-umaga,ProducedbyJimP,53,147,62,313230,2
142,spotify:track:7vu53hQrIoH7UGeh6qcct1,Zack Tabudlo,As You Are,Universal Music Philippines Inc.,120,143,10,309383,2
143,spotify:track:1NUw61RX4Wtmxw7CLiP4kP,Moira Dela Torre,Paubaya,Star Music,1,132,78,308014,2
144,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),Golden Child Recordings,12,136,237,306504,2
145,spotify:track:22Nd3GuO7sHopPjdKccRcq,mrld,An Art Gallery Could Never Be As Unique As You,O/C Records,129,134,10,305453,2
146,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,80,155,102,300216,2
147,spotify:track:2v6jmF6VQWS96x6tSg05IC,Arthur Nery,TAKE ALL THE LOVE,Viva Records,65,146,29,297574,2
148,spotify:track:6FIEuf1JIzmCtach0gXpeG,Up Dharma Down,Tadhana,Viva Records,28,-1,277,296655,2
149,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,Columbia,54,142,129,296550,2
150,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,Atlantic Records UK,24,149,43,296204,2
151,spotify:track:6LJ1p1h5EcMK4VPeCLDSoF,Shanti Dope,Nadarang,Universal Records,3,174,122,293295,2
152,spotify:track:4mc3rUoMwwiNTHA4al9nNd,Lola Amour,Fallen,Warner Music Philippines,152,-1,1,292857,2
153,spotify:track:65sEZZaxTjLMD8vNgPoMz5,Magnus Haven,Imahe,Warner Music Philippines,1,154,147,292341,2
154,spotify:track:0PQ84nbR1Owkr7RtGBmZI7,Arthur Miguel,Crazier,Warner Music Philippines,39,152,52,291769,2
155,spotify:track:6jjYDGxVJsWS0a5wlVF5vS,BTS,Butter,BIGHIT MUSIC,1,138,59,290904,2
156,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Atlantic Records,53,162,236,289845,2
157,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002,Atlantic Records UK,4,144,220,288909,2
158,spotify:track:5nMKJJ5Rl6X1yn58aVeICO,December Avenue,Bulong,Tower of Doom Music,8,150,129,288746,2
159,spotify:track:0kn2gu8Pd03DiYHzRvX2Xk,Conan Gray,Wish You Were Sober,Republic Records,112,192,17,288089,2
160,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,85,159,197,286597,2
161,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,4,190,89,286316,2
162,spotify:track:1pi3VCMlGVaXvrjlVOkBPN,Music Hero,KLWKN,Tape Inc.,6,161,111,285185,2
163,spotify:track:4y5bvROuBDPr5fuwXbIBZR,Taylor Swift,Paper Rings,Taylor Swift,30,157,27,284682,2
164,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,9,160,65,283448,2
165,spotify:track:6084YrOaMYkSSlPxDmzKGV,"Alisson Shore, Kiyo",Urong Sulong,LABRYNTH,81,141,113,279831,2
166,spotify:track:0SzvXb3BAWgTHACbIXGNPa,Kamikazee,Halik,Universal Records,118,156,45,279414,2
167,spotify:track:2bOIWTTDL1XmHcaPWaCdek,Ric Segreto,Don't Know What to Say - Don't Know What to Do,Vicor Music Corporation,167,168,6,278425,2
168,spotify:track:2mgzUVvDpb1zMSB4glLQ6T,aespa,Life's Too Short (English Version),Warner Records,120,120,2,275389,2
169,spotify:track:2GThBgzZoZfz0lx1JjBwfe,New West,Those Eyes,199x,159,163,3,273145,2
170,spotify:track:4j5ffIFh7bFT7GZciP1TCy,"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",Warner Music Nashville,2,171,144,272767,2
171,spotify:track:135ggzbjOogZ75IQ0LQi8r,Eraserheads,Ang Huling El Bimbo,Musiko,43,178,277,271476,2
172,spotify:track:4Yp8lnGcIde2SWAqrMM3v9,The Itchyworms,Akin Ka Na Lang,Universal Records,97,158,21,271030,2
173,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,6,179,13,270077,2
174,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,88rising Music/Warner Records,91,151,36,268365,2
175,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,2,164,68,268298,2
176,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,7,170,89,267184,2
177,spotify:track:2Mo4pOpCYXOu33856sMQLh,Ben&Ben,Make It With You,Star Music,1,165,134,265326,2
178,spotify:track:7ef4DlsgrMEH11cDZd32M6,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),Sony Music UK,10,176,40,264160,2
179,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,Columbia,43,180,42,261617,2
180,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,180,-1,1,261592,2
181,spotify:track:3nqqDo8CcCLke3ZoTgiOKf,The Script,The Man Who Can't Be Moved,Epic/Phonogenic,99,172,123,261253,2
182,spotify:track:3OC2C8IpFhbUJTeMe55QYn,ENHYPEN,ParadoXXX Invasion,BELIFT LAB,182,-1,1,260834,2
183,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,12,181,41,260018,2
184,spotify:track:573EXMFHsEKPRSy08G91Sr,"Katharine McPhee, Jason Reeves",Terrified,KATHARINE MCPHEE,105,-1,89,258229,2
185,spotify:track:0IGUXY4JbK18bu9oD4mPIm,(G)I-DLE,TOMBOY,Cube Entertainment,68,-1,11,257979,2
186,spotify:track:0Ryd8975WihbObpp5cPW1t,"Ariana Grande, Social House",boyfriend (with Social House),Republic Records,13,197,23,257751,2
187,spotify:track:6brl7bwOHmGFkNw3MBqssT,Ne-Yo,So Sick,Def Soul,77,173,257,256442,2
188,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,5,194,134,256155,2
189,spotify:track:6OcCk1dbAb7XNHsC098oEM,"Kelsea Ballerini, LANY",I Quit Drinking,Black River Entertainment,53,175,50,256055,2
190,spotify:track:5ZpSUdy5wL5Hvwsqz6JCAt,Stephen Speaks,Passenger Seat,Rippley Records,75,184,71,256052,2
191,spotify:track:1Hu42ZLWG9dHaVOPiWyEmE,Maximillian,Beautiful Scars,Universal Music A/S,1,-1,105,254380,2
192,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,Epic/Not So Fast,1,186,74,253673,2
193,spotify:track:0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Kemosabe Records/RCA Records,193,-1,1,252062,2
194,spotify:track:6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,Photograph,Atlantic Records UK,36,199,278,250923,2
195,spotify:track:2PTzfXh5Ut3hjRrWGyafz6,Stephen Speaks,Passenger Seat,Rippley Records,195,-1,1,250461,2
196,spotify:track:3vGkyQlCw8LklNip0ZUELC,Join The Club,Nobela,Universal Music Philippines Inc.,31,-1,124,249944,1
197,spotify:track:3aYCsSuW6ZgIESGteMF586,Freestyle,Once In A Lifetime,Viva Records Corporation,195,198,4,249444,1
198,spotify:track:02VBYrHfVwfEWXk5DXyf0T,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,1,188,70,249266,1
199,spotify:track:5UhpceEr5XmbVwyoIUIRnh,Orange & Lemons,Hanggang Kailan - Umuwi Ka Na Baby,Universal Records,48,200,179,248805,1
200,spotify:track:1I4lCSP69P74nU3a6Su5L2,"Duke & Jones, Louis Theroux",Jiggle Jiggle,Robots & Humans,158,-1,4,248793,1
